preprocessed_text,sentiment_score
muas mudah,0.6124
so far tidak pernah ada masalah,-0.7184
joss wes apix,0.0
jelek banget tidak ditingkatin dari dulu kata mudah guna ini mah sulit tiap registrasi gagal melulu sudah ikutin instruksi padahal tidak ada alas jelas,-0.9022
tahan,0.0
lancar dan sangat bantu ,0.0
please update for ios brizzi nfc not working,-0.34
alhamdulillah sangat bantu,0.0
biasa saja,-0.4588
sangat baik,0.7184
bagus,0.7184
keren memudahkn segalax,0.7184
mantap,0.7184
kbagus susah banget login anjing anda belum logout dengan sempurna coba login beberapa saat lagi sampai jam gitu terus jawab beberapa saat itu brapa tahun asu,-0.4588
sangat bantu,0.0
sangat batu,-0.25
saya rasa bantu dengan brimo,0.0
user friendy easy to use,0.4404
bagus,0.7184
sip,0.0
bagusss banget,0.0
kern,0.0
bagus,0.7184
sangat bantu dan mudah dalam transaksi,0.6124
bagus,0.7184
bagus apk nya gampang buat transaksi,0.7184
mksih,0.0
mudah cara makenya mantap,0.875
kasih foto profil mamang developer,0.0
bagus,0.7184
banyak ganggu,-0.7184
aplikasi tidak jelas susah amat mau cek saldo mau pakai kartu atm saja sekarang eh bahkan tidak ada produksi lagi ktanya males banget suka emosi saya brimo ini,0.4588
tengah malam gabisa guna,0.0
bri ini sedang taruh security system nya banyak sekali orang gampang kena skming uang nasabah di brimo pada kurang sendiri hilang ds bri itu bukan bank kemarin sore baik sistem aman nya,0.5994
brimo goblbagus,0.0
bagus,0.7184
bagus,0.7184
limit terus,0.0
sangat ber guna,0.0
mudahmudahan aman,0.7184
ribet lebih baik tidak jelas sudah daftar selalu error tidak guna,0.8519
ini bagaimana pula tidak bisa login aneh parah deh,-0.875
daftar brimo saja susah benar gagal di rekam terus tolong bikin simple saja semua rulesnya juga sudah diikutin masih tetap tidak bisa mobile bangking bank lain simple simple saja asa emang bri saja paling ribet,-0.7184
,0.0
mantapsss,0.0
